'CONTROLE DE FIGURINHAS'        y=79.4  x=137.2
'IRN3'                          y=617.4  x=208.7
'IRN4'                          y=617.4  x=243.2
'IRN5'                          y=617.4  x=277.6
'IRN6'                          y=617.4  x=312.1
'IRN7'                          y=617.4  x=346.5
'IRN8'                          y=617.4  x=380.9
'IRN9'                          y=617.4  x=415.4
'IRN10'                         y=617.4  x=447.3
'IRN11'                         y=617.4  x=481.8
'IRN12'                         y=617.4  x=516.2
'IRN13'                         y=617.4  x=550.7
'IRN14'                         y=617.4  x=585.1
'IRN15'                         y=617.4  x=619.5
'IRN16'                         y=617.4  x=654.0
'IRN17'                         y=617.4  x=688.5
'IRN18'                         y=617.4  x=722.9
'IRN19'                         y=617.4  x=757.4
'IRN20'                         y=617.4  x=791.8
'Nova Zelândia'                 y=631.3  x=54.2
'NZL1'                          y=632.3  x=139.2
'NZL2'                          y=632.3  x=173.6
'NZL3'                          y=632.3  x=208.0
'NZL4'                          y=632.3  x=242.5
'NZL5'                          y=632.3  x=276.9
'NZL6'                          y=632.3  x=311.3
'NZL7'                          y=632.3  x=345.8
'NZL8'                          y=632.3  x=380.2
'NZL9'                          y=632.3  x=414.6
'NZL10'                         y=632.3  x=446.6
'NZL11'                         y=632.3  x=481.1
'NZL12'                         y=632.3  x=515.5
'NZL13'                         y=632.3  x=549.9
'NZL14'                         y=632.3  x=584.3
'NZL15'                         y=632.3  x=618.7
'NZL16'                         y=632.3  x=653.2
'NZL17'                         y=632.3  x=687.7
'NZL18'                         y=632.3  x=722.1
'NZL19'                         y=632.3  x=756.5
'NZL20'                         y=632.3  x=791.0
'Espanha'                       y=647.5  x=54.2
'ESP1'                          y=648.5  x=139.3
'ESP2'                          y=648.5  x=173.8
'ESP3'                          y=648.5  x=208.2
'ESP4'                          y=648.5  x=242.7
'ESP5'                          y=648.5  x=277.1
'ESP6'                          y=648.5  x=311.5
'ESP7'                          y=648.5  x=346.0
'ESP8'                          y=648.5  x=380.4
'ESP9'                          y=648.5  x=414.9
'ESP10'                         y=648.5  x=446.7
'ESP11'                         y=648.5  x=481.2
'ESP12'                         y=648.5  x=515.6
'ESP13'                         y=648.5  x=550.1
'ESP14'                         y=648.5  x=584.6
'ESP15'                         y=648.5  x=619.0
'ESP16'                         y=648.5  x=653.4
'ESP17'                         y=648.5  x=687.9
'ESP18'                         y=648.5  x=722.3
'ESP19'                         y=648.5  x=756.7
'ESP20'                         y=648.5  x=791.1
'H'                             y=660.6  x=26.8
'Cabo Verde'                    y=662.7  x=54.2
'CPV1'                          y=663.7  x=138.6
'CPV2'                          y=663.7  x=173.1
'CPV3'                          y=663.7  x=207.5
'CPV4'                          y=663.7  x=241.9
'CPV5'                          y=663.7  x=276.4
'CPV6'                          y=663.7  x=310.8
'CPV7'                          y=663.7  x=345.3
'CPV8'                          y=663.7  x=379.7
'CPV9'                          y=663.7  x=414.2
'CPV10'                         y=663.7  x=446.0
'CPV11'                         y=663.7  x=480.6
'CPV12'                         y=663.7  x=514.9
'CPV13'                         y=663.7  x=549.5
'CPV14'                         y=663.7  x=583.8
'CPV15'                         y=663.7  x=618.4
'CPV16'                         y=663.7  x=652.7
'CPV17'                         y=663.7  x=687.3
'CPV18'                         y=663.7  x=721.6
'CPV19'                         y=663.7  x=756.2
'CPV20'                         y=663.7  x=790.5
'Arábia Saudita'                y=678.0  x=54.2
'KSA1'                          y=679.0  x=139.2
'KSA2'                          y=679.0  x=173.6
'KSA3'                          y=679.0  x=208.0
'KSA4'                          y=679.0  x=242.6
'KSA5'                          y=679.0  x=277.0
'KSA6'                          y=679.0  x=311.4
'KSA7'                          y=679.0  x=345.9
'KSA8'                          y=679.0  x=380.3
'KSA9'                          y=679.0  x=414.7
'KSA10'                         y=679.0  x=446.6
'KSA11'                         y=679.0  x=481.0
'KSA12'                         y=679.0  x=515.6
'KSA13'                         y=679.0  x=549.9
'KSA14'                         y=679.0  x=584.4
'KSA15'                         y=679.0  x=618.8
